Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,28500,29150,29200,28400,1284406,015760,한국전력공사,0.0,0.0
2005-04-28,28400,28650,29150,28000,789358,015760,한국전력공사,-100.0,-0.3508771929824561
2005-04-29,28900,28000,28950,28000,733869,015760,한국전력공사,500.0,1.7605633802816902
2005-05-02,29100,29000,29100,28550,588916,015760,한국전력공사,200.0,0.6920415224913495
2005-05-03,28650,29200,29250,28300,576383,015760,한국전력공사,-450.0,-1.5463917525773196
2005-05-04,28200,28450,28500,27900,894828,015760,한국전력공사,-450.0,-1.5706806282722512
2005-05-06,27800,28000,28100,27800,1328689,015760,한국전력공사,-400.0,-1.4184397163120568
2005-05-09,27800,27900,28000,27600,1111723,015760,한국전력공사,0.0,0.0
2005-05-10,27500,27900,27950,27350,761794,015760,한국전력공사,-300.0,-1.079136690647482
2005-05-11,27250,27250,27550,27100,798100,015760,한국전력공사,-250.0,-0.9090909090909091
2005-05-12,26900,27200,27450,26900,638570,015760,한국전력공사,-350.0,-1.2844036697247707
2005-05-13,26600,26700,26850,26500,684629,015760,한국전력공사,-300.0,-1.1152416356877324
2005-05-16,26900,26750,27350,26600,637132,015760,한국전력공사,300.0,1.1278195488721803
2005-05-17,27600,27200,27600,27100,830772,015760,한국전력공사,700.0,2.6022304832713754
2005-05-18,28150,27400,28150,27400,781077,015760,한국전력공사,550.0,1.9927536231884055
2005-05-19,28950,28250,29000,28200,883890,015760,한국전력공사,800.0,2.841918294849023
2005-05-20,29000,28700,29450,28700,1003631,015760,한국전력공사,50.0,0.17271157167530224
2005-05-23,28950,29000,29150,28650,426903,015760,한국전력공사,-50.0,-0.1724137931034483
2005-05-24,28500,28750,28800,28300,803882,015760,한국전력공사,-450.0,-1.5544041450777202
2005-05-25,28600,28250,28700,28250,886603,015760,한국전력공사,100.0,0.3508771929824561
2005-05-26,28250,28550,28650,28200,456263,015760,한국전력공사,-350.0,-1.2237762237762237
2005-05-27,29200,28400,29450,28350,1101463,015760,한국전력공사,950.0,3.3628318584070795
2005-05-30,29300,29200,29400,28950,451024,015760,한국전력공사,100.0,0.3424657534246575
2005-05-31,29800,29300,30400,29000,908842,015760,한국전력공사,500.0,1.7064846416382253
2005-06-01,29450,29350,29750,29150,933421,015760,한국전력공사,-350.0,-1.174496644295302
2005-06-02,29150,29550,29750,29150,588825,015760,한국전력공사,-300.0,-1.0186757215619695
2005-06-03,29400,29050,29450,29000,622580,015760,한국전력공사,250.0,0.8576329331046313
2005-06-07,28900,29400,29500,28700,515244,015760,한국전력공사,-500.0,-1.7006802721088436
2005-06-08,29750,29000,29800,29000,987156,015760,한국전력공사,850.0,2.941176470588235
2005-06-09,30600,29450,30600,29450,2082449,015760,한국전력공사,850.0,2.857142857142857
2005-06-10,31400,30500,31900,30450,1243466,015760,한국전력공사,800.0,2.6143790849673203
2005-06-13,31100,31700,31750,30900,782445,015760,한국전력공사,-300.0,-0.9554140127388535
2005-06-14,31300,30600,31750,30600,759561,015760,한국전력공사,200.0,0.6430868167202572
2005-06-15,33000,31600,33500,31350,1243025,015760,한국전력공사,1700.0,5.431309904153355
2005-06-16,32350,32400,32700,31950,1677497,015760,한국전력공사,-650.0,-1.9696969696969695
2005-06-17,32650,32400,32650,31850,1141923,015760,한국전력공사,300.0,0.9273570324574961
2005-06-20,31350,32200,32500,31350,1078259,015760,한국전력공사,-1300.0,-3.9816232771822357
2005-06-21,30900,31400,31700,30500,1148392,015760,한국전력공사,-450.0,-1.4354066985645932
2005-06-22,32400,30900,32800,30900,1275564,015760,한국전력공사,1500.0,4.854368932038835
2005-06-23,33550,32400,33550,32150,884097,015760,한국전력공사,1150.0,3.5493827160493825
2005-06-24,33200,33050,33700,32150,722096,015760,한국전력공사,-350.0,-1.0432190760059614
2005-06-27,31750,32400,32500,31600,1227203,015760,한국전력공사,-1450.0,-4.367469879518072
2005-06-28,31500,31400,31650,31200,840071,015760,한국전력공사,-250.0,-0.7874015748031495
2005-06-29,31300,31100,32100,31100,1233375,015760,한국전력공사,-200.0,-0.6349206349206349
2005-06-30,31700,31200,32250,31200,502053,015760,한국전력공사,400.0,1.2779552715654952
2005-07-01,32850,31700,33350,31350,953860,015760,한국전력공사,1150.0,3.627760252365931
2005-07-04,32350,32900,32900,32050,730673,015760,한국전력공사,-500.0,-1.5220700152207
2005-07-05,31550,32100,32400,31400,690527,015760,한국전력공사,-800.0,-2.472952086553323
2005-07-06,30450,31100,31250,30250,1845913,015760,한국전력공사,-1100.0,-3.4865293185419968
2005-07-07,30800,30050,30800,29800,1614575,015760,한국전력공사,350.0,1.1494252873563218
2005-07-08,30300,30250,30900,30000,1573376,015760,한국전력공사,-500.0,-1.6233766233766231
2005-07-11,30800,30300,30950,30300,1394969,015760,한국전력공사,500.0,1.65016501650165
2005-07-12,31700,31200,31700,31100,1335640,015760,한국전력공사,900.0,2.922077922077922
2005-07-13,31300,31700,31850,31000,919685,015760,한국전력공사,-400.0,-1.2618296529968454
2005-07-14,31800,31600,31900,31350,1705743,015760,한국전력공사,500.0,1.5974440894568689
2005-07-15,32200,32150,32300,31800,924044,015760,한국전력공사,400.0,1.257861635220126
2005-07-18,32600,31800,32600,31800,567733,015760,한국전력공사,400.0,1.2422360248447204
2005-07-19,32750,32500,33150,32400,643267,015760,한국전력공사,150.0,0.4601226993865031
2005-07-20,33200,32750,33300,32400,975419,015760,한국전력공사,450.0,1.3740458015267176
2005-07-21,34250,32750,34300,32750,1116531,015760,한국전력공사,1050.0,3.1626506024096384
2005-07-22,35800,35500,36450,35100,2691847,015760,한국전력공사,1550.0,4.525547445255475
2005-07-25,37200,35650,37400,35300,1652802,015760,한국전력공사,1400.0,3.910614525139665
2005-07-26,36750,36850,36850,36300,976440,015760,한국전력공사,-450.0,-1.2096774193548387
2005-07-27,35500,35900,36700,35400,1715963,015760,한국전력공사,-1250.0,-3.4013605442176873
2005-07-28,35800,35750,35800,35050,991055,015760,한국전력공사,300.0,0.8450704225352111
2005-07-29,35700,36400,36400,35050,852192,015760,한국전력공사,-100.0,-0.27932960893854747
2005-08-01,35650,35200,35650,34850,920048,015760,한국전력공사,-50.0,-0.1400560224089636
2005-08-02,35600,35700,35900,35200,528715,015760,한국전력공사,-50.0,-0.1402524544179523
2005-08-03,36500,36300,36850,35600,990552,015760,한국전력공사,900.0,2.528089887640449
2005-08-04,38050,36500,38100,36500,1599141,015760,한국전력공사,1550.0,4.2465753424657535
2005-08-05,37000,37500,37500,35900,1189782,015760,한국전력공사,-1050.0,-2.759526938239159
2005-08-08,37150,37000,37350,36650,473295,015760,한국전력공사,150.0,0.40540540540540543
2005-08-09,36900,36950,36950,35800,1132707,015760,한국전력공사,-250.0,-0.6729475100942126
2005-08-10,35900,36800,36800,35400,1304284,015760,한국전력공사,-1000.0,-2.710027100271003
2005-08-11,35700,35300,35800,35000,1014871,015760,한국전력공사,-200.0,-0.5571030640668524
2005-08-12,36300,35150,36800,35150,1345342,015760,한국전력공사,600.0,1.680672268907563
2005-08-16,35350,36250,36750,34700,1319043,015760,한국전력공사,-950.0,-2.6170798898071626
2005-08-17,33600,33900,34000,33400,3258753,015760,한국전력공사,-1750.0,-4.9504950495049505
2005-08-18,33700,33450,33800,32800,1806054,015760,한국전력공사,100.0,0.2976190476190476
2005-08-19,32450,32900,33200,32050,2592252,015760,한국전력공사,-1250.0,-3.7091988130563793
2005-08-22,33500,32400,33500,32350,1267575,015760,한국전력공사,1050.0,3.2357473035439135
2005-08-23,33300,33400,33600,32800,1273440,015760,한국전력공사,-200.0,-0.5970149253731344
2005-08-24,32500,33000,33200,32000,2024830,015760,한국전력공사,-800.0,-2.4024024024024024
2005-08-25,32450,32000,32900,31550,1561738,015760,한국전력공사,-50.0,-0.15384615384615385
2005-08-26,32150,32050,32850,31850,1093070,015760,한국전력공사,-300.0,-0.9244992295839755
2005-08-29,31850,31800,31850,31250,1106226,015760,한국전력공사,-300.0,-0.9331259720062209
2005-08-30,32500,31850,32500,31450,1072645,015760,한국전력공사,650.0,2.0408163265306123
2005-08-31,32500,31850,32500,31850,1336740,015760,한국전력공사,0.0,0.0
2005-09-01,32700,32500,33050,32150,1867007,015760,한국전력공사,200.0,0.6153846153846154
2005-09-02,32850,32950,33250,32650,1770707,015760,한국전력공사,150.0,0.45871559633027525
2005-09-05,32900,32850,33050,32650,875388,015760,한국전력공사,50.0,0.15220700152207
2005-09-06,33450,32900,33700,32900,1391671,015760,한국전력공사,550.0,1.6717325227963524
